Zip,NAICSIndustry,PctLoanMin
93630.0,All Other Miscellaneous General Purpose Machinery Manufacturing ,4.8972216564951765
93630.0,Dairy Cattle and Milk Production,2.6724065121169334
93633.0,Nature Parks and Other Similar Institutions,100.0
93634.0,Hotels (except Casino Hotels) and Motels ,100.0
93635.0,Dairy Cattle and Milk Production,7.641466284775782
93635.0,Employment Placement Agencies ,6.223077034425446
93635.0,All Other Miscellaneous Crop Farming ,5.911749837939983
93635.0,UNKNOWN,5.7267080021308985
93635.0,Postharvest Crop Activities (except Cotton Ginning) ,4.952707548289252
93635.0,Offices of Physicians (except Mental Health Specialists) ,4.937365808319081
93635.0,Full-Service Restaurants ,3.605291412845966
93635.0,Tree Nut Farming ,3.3311948843439465
93635.0,Gasoline Stations with Convenience Stores ,3.2531480794478376
93635.0,Cotton Farming,3.003916182188397
93636.0,UNKNOWN,9.266592397917071
93636.0,Boat Dealers ,6.2004562818482505
93636.0,Wineries ,4.11505271030558
93636.0,Other Management Consulting Services ,4.070923099115824
93636.0,New Car Dealers ,3.5141165003806347
93636.0,New Single-Family Housing Construction (except For-Sale Builders) ,3.4796891441333075
93636.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,3.1234330732518703
93636.0,Supermarkets and Other Grocery (except Convenience) Stores ,3.1128366012640565
93636.0,Beef Cattle Ranching and Farming ,3.020106293657618
93636.0,All Other Miscellaneous Crop Farming ,2.8958548352013533
93637.0,Other Management Consulting Services ,10.018697815583641
93637.0,Offices of Physicians (except Mental Health Specialists) ,6.441042546175586
93637.0,Dairy Cattle and Milk Production,6.006301512462295
93637.0,All Other Specialty Trade Contractors,4.69790967123615
93637.0,Farm Management Services ,4.3102081069082585
93637.0,Tree Nut Farming ,3.961635588806304
93637.0,Packing and Crating ,2.849117284795676
93637.0,Farm Labor Contractors and Crew Leaders ,2.786490404750462
93637.0,Fresh Fruit and Vegetable Merchant Wholesalers ,2.7050484102075827
93637.0,Grape Vineyards ,2.6973700802017198
93638.0,Offices of Dentists ,4.768058821144151
93638.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",4.587859208487834
93638.0,Full-Service Restaurants ,4.3735465761792005
93638.0,"General Freight Trucking, Local ",4.357582246168561
93638.0,Electronics Stores ,4.183169376291709
93638.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,3.5078281334578567
93638.0,Gasoline Stations with Convenience Stores ,3.460918105259906
93638.0,UNKNOWN,3.3526390363007588
93638.0,"General Freight Trucking, Long-Distance, Truckload ",2.9311819308484037
93638.0,Private Households,2.904433984548733
93639.0,Pet and Pet Supplies Stores ,70.8101961017571
93639.0,Wineries ,29.18980389824292
93641.0,All Other Traveler Accommodation ,100.0
93642.0,Recreational and Vacation Camps (except Campgrounds) ,100.0
93643.0,Sawmills ,30.36299758907577
93643.0,Full-Service Restaurants ,20.615809777814764
93643.0,Gasoline Stations with Convenience Stores ,13.542341525058115
93643.0,Supermarkets and Other Grocery (except Convenience) Stores ,9.476546093758062
93643.0,New Single-Family Housing Construction (except For-Sale Builders) ,7.2115125563177624
93643.0,Other Vegetable (except Potato) and Melon Farming ,4.555624805610667
93643.0,Landscape Architectural Services,4.088911340622788
93643.0,Other Management Consulting Services ,3.548780445321156
93643.0,Pet and Pet Supplies Stores ,3.3550626136728914
93643.0,Other Miscellaneous Durable Goods Merchant Wholesalers ,2.4418214073310707
93644.0,Offices of Dentists ,7.3527863880043265
93644.0,Full-Service Restaurants ,6.9290123608120195
93644.0,Hotels (except Casino Hotels) and Motels ,6.3697708642654085
93644.0,UNKNOWN,3.321021921901911
93644.0,All Other Specialty Food Stores ,2.868860350392385
93644.0,General Automotive Repair ,2.600954332877266
93644.0,"Automotive Body, Paint, and Interior Repair and Maintenance ",2.4455216447029247
93644.0,Land Subdivision ,2.323242125719072
93644.0,Religious Organizations ,2.302621633478962
93644.0,Industrial Building Construction ,2.2899056632642267
93645.0,"General Freight Trucking, Local ",49.6782740348221
93645.0,Engineering Services,35.48448145344436
93645.0,Offices of Mental Health Practitioners (except Physicians) ,14.837244511733534
93645.0,Drycleaning and Laundry Services (except Coin-Operated) ,0.0
93649.0,Marinas,100.0
93651.0,UNKNOWN,21.162189627214502
93651.0,Limited-Service Restaurants ,15.375272253198249
93651.0,Solid Waste Collection ,11.421658976500847
93651.0,Fuel Dealers ,11.28505559609743
93651.0,All Other Miscellaneous Fabricated Metal Product Manufacturing ,8.946338703173451
93651.0,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,8.78903784089073
93651.0,"Crop Harvesting, Primarily by Machine ",6.0786533090769375
93651.0,"All Other Professional, Scientific, and Technical Services",4.445030632174622
93651.0,Full-Service Restaurants ,4.188086178558675
93651.0,All Other Miscellaneous Crop Farming ,1.7313936389226516
93653.0,All Other Telecommunications ,31.908864351029766
93653.0,All Other Animal Production ,21.94410539813131
93653.0,Environmental Consulting Services,20.307193752216648
93653.0,Electrical Contractors and Other Wiring Installation Contractors,15.010123942679625
93653.0,All Other General Merchandise Stores ,7.686367728642751
93653.0,Other Accounting Services ,3.1433448272998907
93657.0,Limited-Service Restaurants ,6.159313333494219
93657.0,UNKNOWN,3.1341798920032136
93657.0,Soybean and Other Oilseed Processing ,2.565004234850747
93657.0,Painting and Wall Covering Contractors,2.4818888445814578
93657.0,Gasoline Stations with Convenience Stores ,2.4413570151432613
93657.0,Offices of Optometrists,2.3670101939339268
93657.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,2.252615380517353
93657.0,Wineries ,2.222251325104312
93657.0,Residential Remodelers ,2.1881865687085447
93657.0,Offices of Dentists ,2.1779327501163706
93662.0,Offices of Dentists ,100.0
93664.0,Marinas,12.805648832466051
93664.0,Sporting Goods Stores ,10.963806835366471
93664.0,Full-Service Restaurants ,10.56218834094628
93664.0,Hotels (except Casino Hotels) and Motels ,10.379555166075985
93664.0,Limited-Service Restaurants ,9.916865068594074
93664.0,Residential Remodelers ,9.087551474636866
93664.0,Gasoline Stations with Convenience Stores ,7.278377938222682
93664.0,Snack and Nonalcoholic Beverage Bars ,5.661240664769246
93664.0,Commercial and Institutional Building Construction ,5.292872265349329
93664.0,Supermarkets and Other Grocery (except Convenience) Stores ,3.3250095000271433
93665.0,Rice Milling ,100.0
93667.0,"General Freight Trucking, Local ",18.754802868099155
93667.0,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,18.605054865522995
93667.0,All Other Support Services,18.39879039916465
93667.0,Power and Communication Line and Related Structures Construction ,15.016053150887736
93667.0,Paper (except Newsprint) Mills ,10.158524968148642
93667.0,Religious Organizations ,6.703595156646313
93667.0,"All Other Professional, Scientific, and Technical Services",4.458200175869335
93667.0,UNKNOWN,4.1252893271669615
93667.0,Paint and Wallpaper Stores ,3.7796890884942216
93675.0,Convenience Stores ,22.651425389830624
93675.0,Full-Service Restaurants ,19.337907527049644
93675.0,Engineering Services,11.325712694915312
93675.0,Nature Parks and Other Similar Institutions,11.290404717688956
93675.0,General Automotive Repair ,8.908202654209289
93675.0,New Single-Family Housing Construction (except For-Sale Builders) ,6.138156040889354
93675.0,Residential Property Managers ,4.590037039426108
93675.0,Painting and Wall Covering Contractors,3.9227162698480065
93675.0,Beef Cattle Ranching and Farming ,3.3284558531459747
93675.0,Finfish Fishing ,3.069078020444677
93701.0,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",33.017162089734114
93701.0,Tortilla Manufacturing,13.206864835893645
93701.0,Nonresidential Property Managers ,6.8464387309272645
93701.0,Dairy Cattle and Milk Production,6.603432417946823
93701.0,"Plumbing, Heating, and Air-Conditioning Contractors ",6.603432417946823
93701.0,Child and Youth Services ,2.311201346281388
93701.0,Community Food Services ,2.311201346281388
93701.0,Gasoline Stations with Convenience Stores ,2.311201346281388
93701.0,Home Health Care Services,2.311201346281388
93701.0,Other Building Equipment Contractors ,2.311201346281388
93702.0,Full-Service Restaurants ,11.477586344613115
93702.0,Dried and Dehydrated Food Manufacturing ,5.34213534893952
93702.0,Drywall and Insulation Contractors ,5.34213534893952
93702.0,Electrical Contractors and Other Wiring Installation Contractors,5.34213534893952
93702.0,"Promoters of Performing Arts, Sports, and Similar Events without Facilities ",5.34213534893952
93702.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,4.484707362190873
93702.0,Other Social Advocacy Organizations ,3.4954507382742523
93702.0,UNKNOWN,3.007866413354616
93702.0,Used Car Dealers ,2.6603376140403183
93702.0,Supermarkets and Other Grocery (except Convenience) Stores ,2.6415180343681968
93703.0,Commercial and Institutional Building Construction ,24.495500023576213
93703.0,Religious Organizations ,9.973019371192297
93703.0,Electrical Contractors and Other Wiring Installation Contractors,4.932534059626561
93703.0,"Plumbing, Heating, and Air-Conditioning Contractors ",3.880424921460848
93703.0,Painting and Wall Covering Contractors,3.728052823641857
93703.0,Offices of Physicians (except Mental Health Specialists) ,3.227182347868826
93703.0,Masonry Contractors ,3.0701611488815295
93703.0,"Automotive Body, Paint, and Interior Repair and Maintenance ",2.614253139274424
93703.0,UNKNOWN,2.244424422003524
93703.0,General Automotive Repair ,1.741798910539457
93704.0,Offices of Lawyers,10.746391731992986
93704.0,Full-Service Restaurants ,9.401590061006802
93704.0,New Car Dealers ,8.9533403650481
93704.0,Other Management Consulting Services ,7.105825686546111
93704.0,Other Gasoline Stations ,5.684660549236889
93704.0,UNKNOWN,4.377683927386059
93704.0,Other Noncitrus Fruit Farming ,3.2473481271002
93704.0,Offices of Dentists ,3.2358157415138704
93704.0,Residential Property Managers ,2.8423302746184445
93704.0,Home Health Care Services,1.989631192232911
93705.0,All Other Miscellaneous Crop Farming ,48.131291664851176
93705.0,Elementary and Secondary Schools ,9.705481443580279
93705.0,Security Guards and Patrol Services ,8.439549081374158
93705.0,Residential Property Managers ,4.114280177169901
93705.0,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,2.9538421784809548
93705.0,"General Freight Trucking, Local ",2.3704583482309656
93705.0,General Automotive Repair ,1.7273815873284182
93705.0,All Other Amusement and Recreation Industries ,1.2659323622061234
93705.0,Services for the Elderly and Persons with Disabilities ,1.2659323622061234
93705.0,Support Activities for Rail Transportation,1.2659323622061234
93706.0,Grape Vineyards ,6.175793192061319
93706.0,Commercial and Institutional Building Construction ,5.36725786488265
93706.0,Motor Vehicle Body Manufacturing ,4.693267313424409
93706.0,Site Preparation Contractors,4.567879033942681
93706.0,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,4.567879033942681
93706.0,"General Freight Trucking, Local ",3.2076012006668218
93706.0,All Other Miscellaneous Crop Farming ,3.1031222504265963
93706.0,Dairy Cattle and Milk Production,2.6947588437802685
93706.0,"Book, Periodical, and Newspaper Merchant Wholesalers ",2.283939516971341
93706.0,Elementary and Secondary Schools ,2.283939516971341
93709.0,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",100.0
93711.0,Offices of Physicians (except Mental Health Specialists) ,10.295291608123463
93711.0,Lessors of Nonresidential Buildings (except Miniwarehouses) ,4.43978708331298
93711.0,Packaged Frozen Food Merchant Wholesalers ,4.0730728563765455
93711.0,Offices of Lawyers,3.304358785826395
93711.0,Insurance Agencies and Brokerages ,3.0277623792746717
93711.0,Tree Nut Farming ,2.4810740435769234
93711.0,Full-Service Restaurants ,2.3212994598630714
93711.0,Home Health Care Services,2.1018811433304068
93711.0,UNKNOWN,2.094541237951137
93711.0,Architectural Services,2.0827910581598563
93715.0,All Other Support Activities for Transportation ,100.0
93720.0,Offices of Physicians (except Mental Health Specialists) ,23.000789604612244
93720.0,Offices of Lawyers,8.32288532460257
93720.0,Full-Service Restaurants ,6.853642110666644
93720.0,Offices of Dentists ,5.913228795024482
93720.0,UNKNOWN,3.9367695838066297
93720.0,Offices of Optometrists,2.958769855038725
93720.0,Outpatient Mental Health and Substance Abuse Centers ,2.262919776365468
93720.0,Insurance Agencies and Brokerages ,2.197159901715339
93720.0,Offices of Certified Public Accountants ,1.817295493002144
93720.0,Residential Property Managers ,1.6193439455744103
93721.0,Offices of Lawyers,9.945466125399072
93721.0,Other Heavy and Civil Engineering Construction ,9.383525623597878
93721.0,Software Publishers,4.691762811798939
93721.0,Limited-Service Restaurants ,3.529460681024958
93721.0,UNKNOWN,3.293497853931154
93721.0,Hotels (except Casino Hotels) and Motels ,3.2884448253828467
93721.0,Offices of Physicians (except Mental Health Specialists) ,2.870554203498727
93721.0,Civic and Social Organizations ,2.7666785748454985
93721.0,Casinos (except Casino Hotels),2.345881405899469
93721.0,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",2.345881405899469
93722.0,Commercial and Institutional Building Construction ,3.838555280612185
93722.0,All Other Personal Services ,3.464782297315073
93722.0,"General Freight Trucking, Long-Distance, Truckload ",3.120266048101103
93722.0,"Plumbing, Heating, and Air-Conditioning Contractors ",2.9813132753569977
93722.0,Freight Transportation Arrangement ,2.6668160203354048
93722.0,Full-Service Restaurants ,2.62599081791866
93722.0,UNKNOWN,2.491762673303717
93722.0,Security Guards and Patrol Services ,2.2206501380350545
93722.0,"General Freight Trucking, Local ",2.2100649833457235
93722.0,Farm Labor Contractors and Crew Leaders ,2.0170627720598717
93723.0,"All Other Professional, Scientific, and Technical Services",25.2851187018337
93723.0,UNKNOWN,8.45015708870108
93723.0,"General Freight Trucking, Long-Distance, Truckload ",8.010333255306335
93723.0,Commercial and Institutional Building Construction ,4.432940820516783
93723.0,Tree Nut Farming ,4.2479525395453015
93723.0,Temporary Help Services,4.183902962198277
93723.0,"General Freight Trucking, Local ",3.7906158446714695
93723.0,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",3.355071426766544
93723.0,Grape Vineyards ,3.261555577177435
93723.0,All Other Support Services,3.0388045834699984
93725.0,"General Freight Trucking, Long-Distance, Truckload ",5.1638510887576485
93725.0,Recreational Vehicle Dealers ,4.476514272273488
93725.0,"General Freight Trucking, Local ",4.31676196073634
93725.0,"Plumbing, Heating, and Air-Conditioning Contractors ",3.8021984947351055
93725.0,Water and Sewer Line and Related Structures Construction ,3.7743159550541168
93725.0,Beer and Ale Merchant Wholesalers ,3.510991586096853
93725.0,Dried and Dehydrated Food Manufacturing ,3.510991586096853
93725.0,Grain and Field Bean Merchant Wholesalers ,3.510991586096853
93725.0,Postharvest Crop Activities (except Cotton Ginning) ,3.510991586096853
93725.0,Spring Manufacturing ,3.510991586096853
93726.0,Full-Service Restaurants ,9.352131720760426
93726.0,Services for the Elderly and Persons with Disabilities ,7.021197220960711
93726.0,Other Individual and Family Services ,5.511040676291303
93726.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,5.189212961368979
93726.0,Religious Organizations ,4.8576480629087
93726.0,Offices of Dentists ,3.583169704956205
93726.0,Offices of Physicians (except Mental Health Specialists) ,3.3920339934090658
93726.0,Nursing Care Facilities (Skilled Nursing Facilities) ,3.2765587031149983
93726.0,UNKNOWN,3.1429420434414133
93726.0,"Plumbing, Heating, and Air-Conditioning Contractors ",2.6446509532285347
93727.0,Commercial and Institutional Building Construction ,7.278773728876161
93727.0,"Plumbing, Heating, and Air-Conditioning Contractors ",4.508070766851661
93727.0,Water and Sewer Line and Related Structures Construction ,3.388791573396936
93727.0,All Other Specialty Trade Contractors,3.1660163510717316
93727.0,Industrial Building Construction ,2.991905925857285
93727.0,Paint and Coating Manufacturing,2.9424077841195935
93727.0,UNKNOWN,2.224896541226665
93727.0,Masonry Contractors ,2.015788830429931
93727.0,Poured Concrete Foundation and Structure Contractors ,1.955754131701571
93727.0,Nursing Care Facilities (Skilled Nursing Facilities) ,1.9254391201545789
93728.0,Zoos and Botanical Gardens ,12.37550365530858
93728.0,UNKNOWN,7.370664963322144
93728.0,Full-Service Restaurants ,5.791098372246168
93728.0,General Automotive Repair ,4.362612548569381
93728.0,New Single-Family Housing Construction (except For-Sale Builders) ,4.331426279358004
93728.0,Service Establishment Equipment and Supplies Merchant Wholesalers ,4.331426279358004
93728.0,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",4.331426279358004
93728.0,Testing Laboratories,4.331426279358004
93728.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,3.4038822803926254
93728.0,All Other Business Support Services ,3.1507042266123224
93745.0,Farm and Garden Machinery and Equipment Merchant Wholesalers ,60.60606060606061
93745.0,Metal Heat Treating ,21.21212121212121
93745.0,"General Freight Trucking, Long-Distance, Truckload ",9.090909090909092
93745.0,Petroleum Bulk Stations and Terminals ,9.090909090909092
93755.0,Other Activities Related to Real Estate ,58.07538184563563
93755.0,Cotton Farming,15.862875726979336
93755.0,Child and Youth Services ,15.691968174690746
93755.0,Dairy Cattle and Milk Production,10.369774252694283
93760.0,Limited-Service Restaurants ,100.0
93771.0,UNKNOWN,100.0
93772.0,Commercial and Institutional Building Construction ,100.0
93775.0,Janitorial Services ,100.0
93778.0,"General Freight Trucking, Long-Distance, Truckload ",100.0
93779.0,New Single-Family Housing Construction (except For-Sale Builders) ,70.0
93779.0,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing ",30.0
93792.0,UNKNOWN,100.0
93793.0,Drywall and Insulation Contractors ,100.0
93794.0,All Other Transportation Equipment Manufacturing ,33.333333333333336
93794.0,"General Freight Trucking, Local ",33.333333333333336
93794.0,"Plumbing, Heating, and Air-Conditioning Contractors ",33.333333333333336
94002.0,Offices of Real Estate Agents and Brokers,13.761935463214412
94002.0,"Colleges, Universities, and Professional Schools ",5.062880879262827
94002.0,Full-Service Restaurants ,3.99169175678544
94002.0,Elementary and Secondary Schools ,3.4174445935024083
94002.0,UNKNOWN,3.4005660371703352
94002.0,Electrical Contractors and Other Wiring Installation Contractors,3.3618011277708915
94002.0,Commercial Printing (except Screen and Books) ,3.110887156263044
94002.0,Lessors of Nonresidential Buildings (except Miniwarehouses) ,2.5314404396314134
94002.0,Other Electronic Parts and Equipment Merchant Wholesalers ,2.5314404396314134
94002.0,Other Social Advocacy Organizations ,2.5314404396314134
94005.0,"Plumbing, Heating, and Air-Conditioning Contractors ",16.019084419100288
94005.0,UNKNOWN,11.893379949838149
94005.0,Surgical Appliance and Supplies Manufacturing ,10.640625106097009
94005.0,Other Computer Related Services,4.343039237054174
94005.0,Electronic Computer Manufacturing ,4.256250042438803
94005.0,Fresh Fruit and Vegetable Merchant Wholesalers ,4.256250042438803
94005.0,Glass Product Manufacturing Made of Purchased Glass ,4.256250042438803
94005.0,Retail Bakeries ,2.912551904040873
94005.0,New Single-Family Housing Construction (except For-Sale Builders) ,2.5041849296565712
94005.0,Limited-Service Restaurants ,2.1783770119392107
94010.0,Full-Service Restaurants ,5.790296957801031
94010.0,New Car Dealers ,3.407500864540099
94010.0,Food Service Contractors,3.1856162183122336
94010.0,UNKNOWN,3.1789169102607318
94010.0,Chocolate and Confectionery Manufacturing from Cacao Beans ,3.0830928969720635
94010.0,Mixed Mode Transit Systems ,3.0830928969720635
94010.0,Water Supply and Irrigation Systems ,3.0830928969720635
94010.0,Offices of Physicians (except Mental Health Specialists) ,2.2498764048948687
94010.0,Hotels (except Casino Hotels) and Motels ,2.120761234665112
94010.0,New Single-Family Housing Construction (except For-Sale Builders) ,1.9608484328689209
94011.0,Distilleries ,53.06146994421471
94011.0,Offices of Real Estate Agents and Brokers,15.034083150860836
94011.0,Offices of All Other Miscellaneous Health Practitioners ,11.851102440473875
94011.0,Administrative Management and General Management Consulting Services ,10.859914181915943
94011.0,Grantmaking Foundations ,9.19343028253464
94014.0,New Car Dealers ,14.14913981757798
94014.0,Cemeteries and Crematories ,4.309015423547586
94014.0,Commercial and Institutional Building Construction ,4.173612198104741
94014.0,Electrical Contractors and Other Wiring Installation Contractors,4.119420992603417
94014.0,Nursing Care Facilities (Skilled Nursing Facilities) ,4.042611376450851
94014.0,Full-Service Restaurants ,3.762878839645958
94014.0,General Automotive Repair ,3.546122102863416
94014.0,Offices of Dentists ,3.545075147369143
94014.0,UNKNOWN,3.2611277030909345
94014.0,"Automotive Body, Paint, and Interior Repair and Maintenance ",3.1115090390039377
94015.0,Full-Service Restaurants ,11.61371646536174
94015.0,Offices of Physicians (except Mental Health Specialists) ,9.057755276653447
94015.0,UNKNOWN,8.605706777533952
94015.0,Offices of Dentists ,7.442282002183089
94015.0,Home Health Care Services,6.755485624076075
94015.0,Hotels (except Casino Hotels) and Motels ,6.7414117362620924
94015.0,Limited-Service Restaurants ,3.8108499259067337
94015.0,"Offices of Physicians, Mental Health Specialists ",3.2455608550926773
94015.0,Religious Organizations ,2.7705438139021683
94015.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,2.246632398429688
94016.0,Offices of Lawyers,100.0
94017.0,Custom Computer Programming Services ,68.58045319922914
94017.0,Internet Publishing and Broadcasting and Web Search Portals,16.47792346225479
94017.0,Food Service Contractors,10.85961679202194
94017.0,Offices of Real Estate Agents and Brokers,4.082006546494118
94018.0,Other Miscellaneous Durable Goods Merchant Wholesalers ,12.422082178980293
94018.0,Painting and Wall Covering Contractors,12.422082178980293
94018.0,Elementary and Secondary Schools ,9.838289085752393
94018.0,UNKNOWN,8.799306132302481
