Zip,NAICSIndustry,LoanMin,LoanMax,RecipientCount
93630.0,Offices of Physicians (except Mental Health Specialists) ,7579.53,7579.53,1
93630.0,Offices of Real Estate Agents and Brokers,154904.8,354904.8,1
93630.0,Orange Groves,150000.0,350000.0,0
93630.0,Other Accounting Services ,13750.0,13750.0,1
93630.0,Other Automotive Mechanical and Electrical Repair and Maintenance ,49642.0,49642.0,1
93630.0,Other Building Equipment Contractors ,86000.0,86000.0,1
93630.0,Other Farm Product Raw Material Merchant Wholesalers ,87350.0,87350.0,1
93630.0,Other Gasoline Stations ,19100.0,19100.0,1
93630.0,Other Management Consulting Services ,13702.0,13702.0,2
93630.0,Other Noncitrus Fruit Farming ,25592.0,25592.0,1
93630.0,Other Vegetable (except Potato) and Melon Farming ,8500.0,8500.0,1
93630.0,Other Warehousing and Storage,6850.0,6850.0,1
93630.0,Postharvest Crop Activities (except Cotton Ginning) ,500000.0,1350000.0,0
93630.0,Religious Organizations ,58228.42,58228.42,3
93630.0,Residential Remodelers ,11000.0,11000.0,1
93630.0,"Soil Preparation, Planting, and Cultivating ",139093.67,139093.67,3
93630.0,Solid Waste Collection ,463695.0,1113695.0,1
93630.0,Solid Waste Landfill ,2350000.0,6000000.0,0
93630.0,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",12346.85,12346.85,2
93630.0,Supermarkets and Other Grocery (except Convenience) Stores ,155875.0,355875.0,1
93630.0,Support Activities for Animal Production,136500.0,136500.0,1
93630.0,Support Activities for Rail Transportation,10858.0,10858.0,1
93630.0,Surgical Appliance and Supplies Manufacturing ,7467.0,7467.0,1
93630.0,Tax Preparation Services ,9920.0,9920.0,1
93630.0,Telecommunications Resellers ,350000.0,1000000.0,0
93630.0,Tile and Terrazzo Contractors,61727.0,61727.0,1
93630.0,Tree Nut Farming ,1108054.17,1708054.17,11
93630.0,UNKNOWN,225512.0,225512.0,3
93630.0,Water Supply and Irrigation Systems ,1150000.0,2350000.0,0
93630.0,Wineries ,4400.0,4400.0,1
93635.0,All Other Animal Production ,106587.0,106587.0,1
93635.0,All Other Business Support Services ,18750.0,18750.0,1
93635.0,All Other Consumer Goods Rental ,14201.0,14201.0,2
93635.0,All Other General Merchandise Stores ,3750.0,3750.0,1
93635.0,All Other Miscellaneous Crop Farming ,1014594.0,2314594.0,6
93635.0,All Other Miscellaneous Schools and Instruction ,68735.0,68735.0,1
93635.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,98355.0,98355.0,6
93635.0,All Other Personal Services ,57500.0,57500.0,1
93635.0,"All Other Professional, Scientific, and Technical Services",209775.0,209775.0,2
93635.0,All Other Specialty Trade Contractors,160500.0,360500.0,1
93635.0,All Other Support Activities for Transportation ,19000.0,19000.0,1
93635.0,All Other Traveler Accommodation ,20000.0,20000.0,1
93635.0,Automotive Glass Replacement Shops ,10474.0,10474.0,1
93635.0,Automotive Parts and Accessories Stores ,39007.0,39007.0,1
93635.0,Automotive Transmission Repair ,15000.0,15000.0,1
93635.0,Barber Shops ,3985.09,3985.09,2
93635.0,Beauty Salons ,32054.71,32054.71,3
93635.0,Beef Cattle Ranching and Farming ,15727.0,15727.0,1
93635.0,"Beer, Wine, and Liquor Stores ",35391.56,35391.56,2
93635.0,Caterers,3754.0,3754.0,1
93635.0,Chicken Egg Production ,31400.0,31400.0,1
93635.0,Coin-Operated Laundries and Drycleaners ,20832.0,20832.0,1
93635.0,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",45000.0,45000.0,1
93635.0,Commercial and Institutional Building Construction ,90547.4,90547.4,2
93635.0,Consumer Electronics Repair and Maintenance ,1000.0,1000.0,1
93635.0,Convenience Stores ,9755.18,9755.18,1
93635.0,Cotton Farming,515542.0,1165542.0,3
93635.0,"Crop Harvesting, Primarily by Machine ",125415.0,125415.0,1
93635.0,Dairy Cattle and Milk Production,1311453.6400000001,1911453.6400000001,12
93635.0,Dairy Product (except Dried or Canned) Merchant Wholesalers ,150000.0,350000.0,0
93635.0,Direct Life Insurance Carriers ,6700.0,6700.0,1
93635.0,Drinking Places (Alcoholic Beverages) ,17987.0,17987.0,2
93635.0,Drywall and Insulation Contractors ,42982.0,42982.0,1
93635.0,Electrical Contractors and Other Wiring Installation Contractors,89574.0,89574.0,2
93635.0,Employment Placement Agencies ,1068025.0,2068025.0,1
93635.0,Engineering Services,2332.0,2332.0,1
93635.0,Executive Search Services ,55100.0,55100.0,1
93635.0,Family Clothing Stores ,35890.0,35890.0,1
93635.0,Fitness and Recreational Sports Centers ,30447.1,30447.1,3
93635.0,Food Service Contractors,18200.0,18200.0,2
93635.0,Fresh Fruit and Vegetable Merchant Wholesalers ,47500.0,47500.0,1
93635.0,Full-Service Restaurants ,618752.0,818752.0,12
93635.0,Funeral Homes and Funeral Services ,102480.0,102480.0,1
93635.0,Gasoline Stations with Convenience Stores ,558316.0,958316.0,4
93635.0,General Automotive Repair ,258041.41,258041.41,8
93635.0,"General Freight Trucking, Local ",129965.0,129965.0,4
93635.0,"General Freight Trucking, Long-Distance, Less Than Truckload ",50000.0,50000.0,1
93635.0,"General Freight Trucking, Long-Distance, Truckload ",360444.58999999997,360444.58999999997,7
93635.0,"Gift, Novelty, and Souvenir Stores ",10011.0,10011.0,1
93635.0,Graphic Design Services,3557.0,3557.0,1
93635.0,Hardware Stores ,116270.0,116270.0,1
93635.0,Hay Farming ,81753.81,81753.81,3
93635.0,"Highway, Street, and Bridge Construction ",24583.0,24583.0,1
93635.0,Hotels (except Casino Hotels) and Motels ,166670.62,166670.62,3
93635.0,Insurance Agencies and Brokerages ,77253.0,77253.0,4
93635.0,Janitorial Services ,5440.0,5440.0,1
93635.0,Jewelry Stores ,3730.0,3730.0,1
93635.0,Landscape Architectural Services,12377.0,12377.0,1
93635.0,Landscaping Services,150000.0,350000.0,0
93635.0,Lessors of Miniwarehouses and Self-Storage Units ,24707.0,24707.0,2
93635.0,Lessors of Nonresidential Buildings (except Miniwarehouses) ,85000.0,85000.0,1
93635.0,Lessors of Other Real Estate Property ,102170.0,102170.0,1
93635.0,Lessors of Residential Buildings and Dwellings ,4375.0,4375.0,1
93635.0,Limited-Service Restaurants ,179246.0,179246.0,6
93635.0,Meat and Meat Product Merchant Wholesalers ,350000.0,1000000.0,0
93635.0,Mobile Food Services,18979.93,18979.93,1
93635.0,Motor Vehicle Towing,42747.0,42747.0,2
93635.0,Nail Salons ,52532.0,52532.0,2
93635.0,New Single-Family Housing Construction (except For-Sale Builders) ,178560.0,178560.0,4
93635.0,Newspaper Publishers ,4075.0,4075.0,1
93635.0,Nonscheduled Chartered Passenger Air Transportation ,11250.0,11250.0,1
93635.0,Office Supplies and Stationery Stores ,22987.0,22987.0,1
93635.0,Offices of All Other Miscellaneous Health Practitioners ,17463.0,17463.0,2
93635.0,Offices of Certified Public Accountants ,161122.0,361122.0,1
93635.0,Offices of Chiropractors ,28120.35,28120.35,1
93635.0,Offices of Dentists ,359266.0,559266.0,3
93635.0,Offices of Lawyers,160350.25,160350.25,3
93635.0,Offices of Optometrists,134055.04,134055.04,2
93635.0,"Offices of Physical, Occupational and Speech Therapists, and Audiologists ",150000.0,350000.0,0
93635.0,Offices of Physicians (except Mental Health Specialists) ,847367.0,1497367.0,7
93635.0,"Offices of Physicians, Mental Health Specialists ",87551.0,87551.0,1
93635.0,Offices of Real Estate Agents and Brokers,273027.32000000007,273027.32000000007,9
93635.0,Other Accounting Services ,31790.0,31790.0,1
93635.0,Other Animal Food Manufacturing ,67557.0,67557.0,1
93635.0,Other Automotive Mechanical and Electrical Repair and Maintenance ,73046.17,73046.17,1
93635.0,Other Personal Care Services ,64000.0,64000.0,1
93635.0,Other Personal and Household Goods Repair and Maintenance ,14029.0,14029.0,1
93635.0,Other Vegetable (except Potato) and Melon Farming ,113584.42,113584.42,1
93635.0,Packing and Crating ,30328.07,30328.07,1
93635.0,Painting and Wall Covering Contractors,41443.0,41443.0,1
93635.0,Pet Care (except Veterinary) Services ,2290.88,2290.88,1
93635.0,Petroleum Bulk Stations and Terminals ,150000.0,350000.0,0
93635.0,Pharmacies and Drug Stores ,150000.0,350000.0,0
93635.0,"Plumbing, Heating, and Air-Conditioning Contractors ",447496.54000000004,647496.54,5
93635.0,Postharvest Crop Activities (except Cotton Ginning) ,850000.0,2350000.0,0
93635.0,Poured Concrete Foundation and Structure Contractors ,350000.0,1000000.0,0
93635.0,Public Finance Activities ,12090.0,12090.0,1
93635.0,Religious Organizations ,94908.54000000001,94908.54000000001,6
93635.0,Residential Property Managers ,41686.0,41686.0,2
93635.0,Residential Remodelers ,48000.0,48000.0,2
93635.0,Reupholstery and Furniture Repair,3750.0,3750.0,1
93635.0,Roofing Contractors ,100000.0,100000.0,1
93635.0,Satellite Telecommunications,14635.0,14635.0,1
93635.0,Security Guards and Patrol Services ,76500.0,76500.0,1
93635.0,Security Systems Services (except Locksmiths) ,27784.0,27784.0,1
93635.0,Service Establishment Equipment and Supplies Merchant Wholesalers ,16940.0,16940.0,1
93635.0,Sheep Farming,29816.870000000003,29816.870000000003,2
93635.0,"Showcase, Partition, Shelving, and Locker Manufacturing ",87367.0,87367.0,1
93635.0,Snack and Nonalcoholic Beverage Bars ,62712.5,62712.5,1
93635.0,Supermarkets and Other Grocery (except Convenience) Stores ,72273.02,72273.02,1
93635.0,Support Activities for Rail Transportation,20000.0,20000.0,1
93635.0,Tax Preparation Services ,7947.0,7947.0,1
93635.0,Taxi Service ,6198.0,6198.0,2
93635.0,Tile and Terrazzo Contractors,5320.0,5320.0,1
93635.0,Tire Retreading ,15063.0,15063.0,1
93635.0,Tobacco Stores ,11773.0,11773.0,1
93635.0,Travel Agencies,7525.0,7525.0,1
93635.0,Tree Nut Farming ,571710.65,1221710.65,3
93635.0,"Trust, Fiduciary, and Custody Activities ",350000.0,1000000.0,0
93635.0,UNKNOWN,982836.51,2282836.51,12
93635.0,Veterinary Services ,168543.55,368543.55,1
93635.0,Water Supply and Irrigation Systems ,188674.27000000002,188674.27000000002,2
93635.0,Welding and Soldering Equipment Manufacturing ,65292.74,65292.74,1
93637.0,Administrative Management and General Management Consulting Services ,150000.0,350000.0,0
93637.0,All Other Animal Production ,416950.0,1066950.0,2
93637.0,All Other Automotive Repair and Maintenance ,64000.0,64000.0,1
93637.0,All Other Business Support Services ,33200.0,33200.0,1
93637.0,All Other Grain Farming ,4009.0,4009.0,1
93637.0,All Other Health and Personal Care Stores ,1866.0,1866.0,1
93637.0,All Other Insurance Related Activities ,62917.0,62917.0,1
93637.0,All Other Legal Services ,150000.0,350000.0,0
93637.0,All Other Miscellaneous Ambulatory Health Care Services ,20833.0,20833.0,1
93637.0,All Other Miscellaneous Crop Farming ,1075253.0,2325253.0,7
93637.0,All Other Miscellaneous Food Manufacturing ,150000.0,350000.0,0
93637.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,75641.0,75641.0,3
93637.0,All Other Personal Services ,215620.0,415620.0,3
93637.0,All Other Plastics Product Manufacturing ,150000.0,350000.0,0
93637.0,"All Other Professional, Scientific, and Technical Services",53700.0,53700.0,1
93637.0,All Other Specialty Trade Contractors,2344571.0,5344571.0,5
93637.0,All Other Support Activities for Transportation ,373900.0,1023900.0,1
93637.0,All Other Support Services,163836.0,163836.0,6
93637.0,Ambulance Services ,350000.0,1000000.0,0
93637.0,Apiculture,12500.0,12500.0,1
93637.0,Automotive Oil Change and Lubrication Shops ,192712.0,392712.0,2
93637.0,Automotive Parts and Accessories Stores ,93322.5,93322.5,1
93637.0,Barber Shops ,617.0,617.0,1
93637.0,Beauty Salons ,2708.0,2708.0,1
93637.0,Beef Cattle Ranching and Farming ,488025.82,1088025.82,1
93637.0,"Beer, Wine, and Liquor Stores ",12700.0,12700.0,1
93637.0,Bowling Centers,30867.0,30867.0,1
93637.0,Building Inspection Services,34414.0,34414.0,2
93637.0,Business Associations ,32684.0,32684.0,1
93637.0,Carpet and Upholstery Cleaning Services,11325.0,11325.0,1
93637.0,Child and Youth Services ,37250.0,37250.0,1
93637.0,Civic and Social Organizations ,11000.0,11000.0,1
93637.0,Clothing Accessories Stores ,10125.0,10125.0,1
93637.0,Coin-Operated Laundries and Drycleaners ,23345.0,23345.0,1
93637.0,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",87800.0,87800.0,1
93637.0,Commercial Printing (except Screen and Books) ,40000.0,40000.0,1
93637.0,Commercial and Institutional Building Construction ,1067500.0,2067500.0,1
93637.0,Computer and Office Machine Repair and Maintenance ,512.0,512.0,1
93637.0,Confectionery Merchant Wholesalers ,60000.0,60000.0,1
93637.0,"Crop Harvesting, Primarily by Machine ",38100.0,38100.0,1
93637.0,Cut Stone and Stone Product Manufacturing ,60200.0,60200.0,1
93637.0,Dairy Cattle and Milk Production,2997546.0,7447546.0,1
93637.0,Dried and Dehydrated Food Manufacturing ,16747.24,16747.24,1
93637.0,Drinking Places (Alcoholic Beverages) ,56439.0,56439.0,2
93637.0,Educational Support Services,30000.0,30000.0,1
93637.0,Electrical Contractors and Other Wiring Installation Contractors,113733.0,113733.0,1
93637.0,Elementary and Secondary Schools ,2200.0,2200.0,1
93637.0,Engineering Services,86478.0,86478.0,1
93637.0,Exterminating and Pest Control Services,155996.0,355996.0,1
93637.0,Farm Labor Contractors and Crew Leaders ,1390645.0,3040645.0,1
93637.0,Farm Management Services ,2151082.0,4851082.0,4
93637.0,Farm and Garden Machinery and Equipment Merchant Wholesalers ,196700.0,196700.0,3
93637.0,Fertilizer (Mixing Only) Manufacturing ,1000000.0,2000000.0,0
93637.0,Fine Arts Schools ,17380.0,17380.0,2
93637.0,Fitness and Recreational Sports Centers ,18687.0,18687.0,1
93637.0,Floor Covering Stores ,150000.0,350000.0,0
93637.0,Flooring Contractors,4071.0,4071.0,1
93637.0,Florists ,30100.0,30100.0,1
93637.0,Freight Transportation Arrangement ,105200.0,105200.0,1
93637.0,Fresh Fruit and Vegetable Merchant Wholesalers ,1350000.0,3000000.0,0
93637.0,Fruit and Tree Nut Combination Farming ,196593.0,196593.0,6
93637.0,Full-Service Restaurants ,1193473.63,2243473.63,10
93637.0,Furniture Stores ,130000.0,130000.0,1
93637.0,Gasoline Stations with Convenience Stores ,165032.0,165032.0,4
93637.0,General Automotive Repair ,156956.0,156956.0,3
93637.0,"General Freight Trucking, Local ",365064.0,565064.0,9
93637.0,"General Freight Trucking, Long-Distance, Less Than Truckload ",19842.0,19842.0,3
93637.0,"General Freight Trucking, Long-Distance, Truckload ",21744.23,21744.23,4
93637.0,Glass and Glazing Contractors ,15710.5,15710.5,1
93637.0,Grain and Field Bean Merchant Wholesalers ,73500.0,73500.0,1
93637.0,Grape Vineyards ,1346168.0,3296168.0,8
93637.0,Graphic Design Services,14625.0,14625.0,1
93637.0,Hotels (except Casino Hotels) and Motels ,520680.35,720680.35,6
93637.0,Industrial Building Construction ,300000.0,700000.0,0
93637.0,Industrial Machinery and Equipment Merchant Wholesalers ,13798.0,13798.0,1
93637.0,Industrial Supplies Merchant Wholesalers,24525.0,24525.0,1
93637.0,Insurance Agencies and Brokerages ,177599.0,177599.0,7
93637.0,Investment Advice ,4971.0,4971.0,1
93637.0,Landscaping Services,110640.0,110640.0,2
93637.0,Lessors of Nonresidential Buildings (except Miniwarehouses) ,375700.0,1025700.0,1
93637.0,Limited-Service Restaurants ,138325.75,138325.75,3
93637.0,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",125976.0,125976.0,1
93637.0,Marketing Consulting Services ,150000.0,350000.0,0
93637.0,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",150000.0,350000.0,0
93637.0,Meat Markets ,172300.0,172300.0,3
93637.0,Medical Laboratories ,54717.0,54717.0,1
93637.0,Motor Vehicle Towing,154800.0,154800.0,2
93637.0,Nail Salons ,18970.0,18970.0,1
93637.0,New Car Dealers ,700000.0,2000000.0,0
93637.0,New Multifamily Housing Construction (except For-Sale Builders) ,89870.0,89870.0,1
93637.0,New Single-Family Housing Construction (except For-Sale Builders) ,39580.0,39580.0,2
93637.0,Newspaper Publishers ,79000.0,79000.0,1
93637.0,Nitrogenous Fertilizer Manufacturing ,350000.0,1000000.0,0
93637.0,"Nursery, Garden Center, and Farm Supply Stores ",248200.0,448200.0,1
93637.0,Nursing Care Facilities (Skilled Nursing Facilities) ,15000.0,15000.0,1
93637.0,Offices of All Other Miscellaneous Health Practitioners ,4100.0,4100.0,1
93637.0,Offices of Certified Public Accountants ,90100.0,90100.0,1
93637.0,Offices of Chiropractors ,67400.0,67400.0,1
93637.0,Offices of Dentists ,583321.5,783321.5,10
93637.0,Offices of Lawyers,1017757.5,2017757.5,2
93637.0,Offices of Optometrists,48700.0,48700.0,1
93637.0,Offices of Other Holding Companies ,142500.0,142500.0,1
93637.0,"Offices of Physical, Occupational and Speech Therapists, and Audiologists ",257331.0,257331.0,2
93637.0,Offices of Physicians (except Mental Health Specialists) ,3214510.84,6814510.84,15
93637.0,Offices of Podiatrists ,12917.0,12917.0,1
93637.0,Offices of Real Estate Agents and Brokers,17511.0,17511.0,2
93637.0,Other Accounting Services ,22425.0,22425.0,3
93637.0,Other Activities Related to Real Estate ,2000.0,2000.0,1
93637.0,Other Automotive Mechanical and Electrical Repair and Maintenance ,19693.75,19693.75,2
93637.0,Other Building Equipment Contractors ,11500.0,11500.0,1
93637.0,Other Commercial and Service Industry Machinery Manufacturing ,150000.0,350000.0,0
93637.0,Other Electric Power Generation ,21210.0,21210.0,1
93637.0,Other Gasoline Stations ,54988.0,54988.0,1
93637.0,Other General Government Support ,150000.0,350000.0,0
93637.0,Other Management Consulting Services ,5000000.0,10000000.0,0
93637.0,Other Noncitrus Fruit Farming ,106777.0,106777.0,1
93637.0,Other Personal Care Services ,29241.0,29241.0,1
93637.0,Other Poultry Production ,42118.52,42118.52,1
93637.0,Other Services to Buildings and Dwellings ,15000.0,15000.0,1
93637.0,Other Support Activities for Air Transportation,32900.0,32900.0,1
93637.0,Other Support Activities for Road Transportation ,9121.0,9121.0,1
