2017 NAICS Code,title
221113.0,Nuclear Electric Power Generation 
221114.0,Solar Electric Power Generation 
221115.0,Wind Electric Power Generation 
221116.0,Geothermal Electric Power Generation 
221117.0,Biomass Electric Power Generation 
221118.0,Other Electric Power Generation 
221121.0,Electric Bulk Power Transmission and Control 
221122.0,Electric Power Distribution 
221210.0,Natural Gas Distribution 
221310.0,Water Supply and Irrigation Systems 
221320.0,Sewage Treatment Facilities 
221330.0,Steam and Air-Conditioning Supply 
236115.0,New Single-Family Housing Construction (except For-Sale Builders) 
236116.0,New Multifamily Housing Construction (except For-Sale Builders) 
236117.0,New Housing For-Sale Builders 
236118.0,Residential Remodelers 
236210.0,Industrial Building Construction 
236220.0,Commercial and Institutional Building Construction 
237110.0,Water and Sewer Line and Related Structures Construction 
237120.0,Oil and Gas Pipeline and Related Structures Construction 
237130.0,Power and Communication Line and Related Structures Construction 
237210.0,Land Subdivision 
237310.0,"Highway, Street, and Bridge Construction "
237990.0,Other Heavy and Civil Engineering Construction 
238110.0,Poured Concrete Foundation and Structure Contractors 
238120.0,Structural Steel and Precast Concrete Contractors 
238130.0,Framing Contractors 
238140.0,Masonry Contractors 
238150.0,Glass and Glazing Contractors 
238160.0,Roofing Contractors 
238170.0,Siding Contractors 
238190.0,"Other Foundation, Structure, and Building Exterior Contractors "
238210.0,Electrical Contractors and Other Wiring Installation Contractors
238220.0,"Plumbing, Heating, and Air-Conditioning Contractors "
238290.0,Other Building Equipment Contractors 
238310.0,Drywall and Insulation Contractors 
238320.0,Painting and Wall Covering Contractors
238330.0,Flooring Contractors
238340.0,Tile and Terrazzo Contractors
238350.0,Finish Carpentry Contractors
238390.0,Other Building Finishing Contractors
238910.0,Site Preparation Contractors
238990.0,All Other Specialty Trade Contractors
311111.0,Dog and Cat Food Manufacturing 
311119.0,Other Animal Food Manufacturing 
311211.0,Flour Milling 
311212.0,Rice Milling 
311213.0,Malt Manufacturing 
311221.0,Wet Corn Milling 
311224.0,Soybean and Other Oilseed Processing 
311225.0,Fats and Oils Refining and Blending 
311230.0,Breakfast Cereal Manufacturing
311313.0,Beet Sugar Manufacturing 
311314.0,Cane Sugar Manufacturing 
311340.0,Nonchocolate Confectionery Manufacturing
311351.0,Chocolate and Confectionery Manufacturing from Cacao Beans 
311352.0,Confectionery Manufacturing from Purchased Chocolate 
311411.0,"Frozen Fruit, Juice, and Vegetable Manufacturing "
311412.0,Frozen Specialty Food Manufacturing 
311421.0,Fruit and Vegetable Canning 
311422.0,Specialty Canning 
311423.0,Dried and Dehydrated Food Manufacturing 
311511.0,Fluid Milk Manufacturing 
311512.0,Creamery Butter Manufacturing 
311513.0,Cheese Manufacturing 
311514.0,"Dry, Condensed, and Evaporated Dairy Product Manufacturing "
311520.0,Ice Cream and Frozen Dessert Manufacturing
311611.0,Animal (except Poultry) Slaughtering 
311612.0,Meat Processed from Carcasses 
311613.0,Rendering and Meat Byproduct Processing 
311615.0,Poultry Processing 
311710.0,Seafood Product Preparation and Packaging
311811.0,Retail Bakeries 
311812.0,Commercial Bakeries 
311813.0,"Frozen Cakes, Pies, and Other Pastries Manufacturing "
311821.0,Cookie and Cracker Manufacturing 
311824.0,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour "
311830.0,Tortilla Manufacturing
311911.0,Roasted Nuts and Peanut Butter Manufacturing 
311919.0,Other Snack Food Manufacturing 
311920.0,Coffee and Tea Manufacturing 
311930.0,Flavoring Syrup and Concentrate Manufacturing
311941.0,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing "
311942.0,Spice and Extract Manufacturing 
311991.0,Perishable Prepared Food Manufacturing 
311999.0,All Other Miscellaneous Food Manufacturing 
312111.0,Soft Drink Manufacturing 
312112.0,Bottled Water Manufacturing 
312113.0,Ice Manufacturing 
312120.0,Breweries
312130.0,Wineries 
312140.0,Distilleries 
312230.0,Tobacco Manufacturing 
313110.0,"Fiber, Yarn, and Thread Mills "
313210.0,Broadwoven Fabric Mills
313220.0,Narrow Fabric Mills and Schiffli Machine Embroidery
313230.0,Nonwoven Fabric Mills
313240.0,Knit Fabric Mills
313310.0,Textile and Fabric Finishing Mills 
313320.0,Fabric Coating Mills
314110.0,Carpet and Rug Mills
314120.0,Curtain and Linen Mills
314910.0,Textile Bag and Canvas Mills 
314994.0,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills "
314999.0,All Other Miscellaneous Textile Product Mills 
315110.0,Hosiery and Sock Mills
315190.0,Other Apparel Knitting Mills 
315210.0,Cut and Sew Apparel Contractors 
315220.0,Men’s and Boys’ Cut and Sew Apparel Manufacturing 
315240.0,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing "
315280.0,Other Cut and Sew Apparel Manufacturing 
315990.0,Apparel Accessories and Other Apparel Manufacturing 
316110.0,Leather and Hide Tanning and Finishing
316210.0,Footwear Manufacturing 
316992.0,Women's Handbag and Purse Manufacturing 
316998.0,All Other Leather Good and Allied Product Manufacturing 
321113.0,Sawmills 
321114.0,Wood Preservation 
321211.0,Hardwood Veneer and Plywood Manufacturing 
321212.0,Softwood Veneer and Plywood Manufacturing 
321213.0,Engineered Wood Member (except Truss) Manufacturing 
321214.0,Truss Manufacturing 
321219.0,Reconstituted Wood Product Manufacturing 
321911.0,Wood Window and Door Manufacturing 
321912.0,"Cut Stock, Resawing Lumber, and Planing "
321918.0,Other Millwork (including Flooring) 
321920.0,Wood Container and Pallet Manufacturing
321991.0,Manufactured Home (Mobile Home) Manufacturing 
321992.0,Prefabricated Wood Building Manufacturing 
321999.0,All Other Miscellaneous Wood Product Manufacturing 
322110.0,Pulp Mills 
322121.0,Paper (except Newsprint) Mills 
322122.0,Newsprint Mills 
322130.0,Paperboard Mills 
322211.0,Corrugated and Solid Fiber Box Manufacturing 
322212.0,Folding Paperboard Box Manufacturing 
322219.0,Other Paperboard Container Manufacturing 
322220.0,Paper Bag and Coated and Treated Paper Manufacturing
322230.0,Stationery Product Manufacturing
322291.0,Sanitary Paper Product Manufacturing 
322299.0,All Other Converted Paper Product Manufacturing 
323111.0,Commercial Printing (except Screen and Books) 
323113.0,Commercial Screen Printing 
323117.0,Books Printing 
323120.0,Support Activities for Printing
324110.0,Petroleum Refineries
324121.0,Asphalt Paving Mixture and Block Manufacturing 
324122.0,Asphalt Shingle and Coating Materials Manufacturing 
324191.0,Petroleum Lubricating Oil and Grease Manufacturing 
324199.0,All Other Petroleum and Coal Products Manufacturing 
325110.0,Petrochemical Manufacturing
325120.0,Industrial Gas Manufacturing
325130.0,Synthetic Dye and Pigment Manufacturing
325180.0,Other Basic Inorganic Chemical Manufacturing 
325193.0,Ethyl Alcohol Manufacturing 
325194.0,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing "
325199.0,All Other Basic Organic Chemical Manufacturing 
325211.0,Plastics Material and Resin Manufacturing 
325212.0,Synthetic Rubber Manufacturing 
325220.0,Artificial and Synthetic Fibers and Filaments Manufacturing
325311.0,Nitrogenous Fertilizer Manufacturing 
325312.0,Phosphatic Fertilizer Manufacturing 
325314.0,Fertilizer (Mixing Only) Manufacturing 
325320.0,Pesticide and Other Agricultural Chemical Manufacturing
325411.0,Medicinal and Botanical Manufacturing 
325412.0,Pharmaceutical Preparation Manufacturing 
325413.0,In-Vitro Diagnostic Substance Manufacturing 
325414.0,Biological Product (except Diagnostic) Manufacturing 
325510.0,Paint and Coating Manufacturing
325520.0,Adhesive Manufacturing
325611.0,Soap and Other Detergent Manufacturing 
325612.0,Polish and Other Sanitation Good Manufacturing 
325613.0,Surface Active Agent Manufacturing 
325620.0,Toilet Preparation Manufacturing
325910.0,Printing Ink Manufacturing
325920.0,Explosives Manufacturing
325991.0,Custom Compounding of Purchased Resins 
325992.0,"Photographic Film, Paper, Plate, and Chemical Manufacturing "
325998.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
326111.0,Plastics Bag and Pouch Manufacturing 
326112.0,Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
326113.0,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
326121.0,Unlaminated Plastics Profile Shape Manufacturing 
326122.0,Plastics Pipe and Pipe Fitting Manufacturing 
326130.0,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
326140.0,Polystyrene Foam Product Manufacturing
326150.0,Urethane and Other Foam Product (except Polystyrene) Manufacturing
326160.0,Plastics Bottle Manufacturing
326191.0,Plastics Plumbing Fixture Manufacturing 
326199.0,All Other Plastics Product Manufacturing 
326211.0,Tire Manufacturing (except Retreading) 
326212.0,Tire Retreading 
326220.0,Rubber and Plastics Hoses and Belting Manufacturing
326291.0,Rubber Product Manufacturing for Mechanical Use 
326299.0,All Other Rubber Product Manufacturing 
327110.0,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
327120.0,Clay Building Material and Refractories Manufacturing 
327211.0,Flat Glass Manufacturing 
327212.0,Other Pressed and Blown Glass and Glassware Manufacturing 
327213.0,Glass Container Manufacturing 
327215.0,Glass Product Manufacturing Made of Purchased Glass 
327310.0,Cement Manufacturing
327320.0,Ready-Mix Concrete Manufacturing
327331.0,Concrete Block and Brick Manufacturing 
327332.0,Concrete Pipe Manufacturing 
327390.0,Other Concrete Product Manufacturing 
327410.0,Lime Manufacturing
327420.0,Gypsum Product Manufacturing
327910.0,Abrasive Product Manufacturing
327991.0,Cut Stone and Stone Product Manufacturing 
327992.0,Ground or Treated Mineral and Earth Manufacturing 
327993.0,Mineral Wool Manufacturing 
327999.0,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
331110.0,Iron and Steel Mills and Ferroalloy Manufacturing 
331210.0,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
331221.0,Rolled Steel Shape Manufacturing 
331222.0,Steel Wire Drawing 
331313.0,Alumina Refining and Primary Aluminum Production 
331314.0,Secondary Smelting and Alloying of Aluminum 
331315.0,"Aluminum Sheet, Plate, and Foil Manufacturing "
331318.0,"Other Aluminum Rolling, Drawing, and Extruding "
331410.0,Nonferrous Metal (except Aluminum) Smelting and Refining 
331420.0,"Copper Rolling, Drawing, Extruding, and Alloying"
331491.0,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding "
331492.0,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) "
331511.0,Iron Foundries 
331512.0,Steel Investment Foundries 
331513.0,Steel Foundries (except Investment) 
331523.0,Nonferrous Metal Die-Casting Foundries 
331524.0,Aluminum Foundries (except Die-Casting) 
331529.0,Other Nonferrous Metal Foundries (except Die-Casting) 
332111.0,Iron and Steel Forging 
332112.0,Nonferrous Forging 
332114.0,Custom Roll Forming 
332117.0,Powder Metallurgy Part Manufacturing 
332119.0,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) "
332215.0,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing "
332216.0,Saw Blade and Handtool Manufacturing 
332311.0,Prefabricated Metal Building and Component Manufacturing 
332312.0,Fabricated Structural Metal Manufacturing 
332313.0,Plate Work Manufacturing 
332321.0,Metal Window and Door Manufacturing 
332322.0,Sheet Metal Work Manufacturing 
332323.0,Ornamental and Architectural Metal Work Manufacturing 
332410.0,Power Boiler and Heat Exchanger Manufacturing
332420.0,Metal Tank (Heavy Gauge) Manufacturing
332431.0,Metal Can Manufacturing 
332439.0,Other Metal Container Manufacturing 
332510.0,Hardware Manufacturing
332613.0,Spring Manufacturing 
332618.0,Other Fabricated Wire Product Manufacturing 
332710.0,Machine Shops
332721.0,Precision Turned Product Manufacturing 
332722.0,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing "
332811.0,Metal Heat Treating 
332812.0,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers "
332813.0,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
332911.0,Industrial Valve Manufacturing 
332912.0,Fluid Power Valve and Hose Fitting Manufacturing 
332913.0,Plumbing Fixture Fitting and Trim Manufacturing 
332919.0,Other Metal Valve and Pipe Fitting Manufacturing 
332991.0,Ball and Roller Bearing Manufacturing
332992.0,Small Arms Ammunition Manufacturing 
332993.0,Ammunition (except Small Arms) Manufacturing 
332994.0,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing "
332996.0,Fabricated Pipe and Pipe Fitting Manufacturing 
332999.0,All Other Miscellaneous Fabricated Metal Product Manufacturing 
333111.0,Farm Machinery and Equipment Manufacturing 
333112.0,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing 
333120.0,Construction Machinery Manufacturing
333131.0,Mining Machinery and Equipment Manufacturing 
333132.0,Oil and Gas Field Machinery and Equipment Manufacturing 
333241.0,Food Product Machinery Manufacturing 
333242.0,Semiconductor Machinery Manufacturing 
333243.0,"Sawmill, Woodworking, and Paper Machinery Manufacturing "
333244.0,Printing Machinery and Equipment Manufacturing 
333249.0,Other Industrial Machinery Manufacturing 
333314.0,Optical Instrument and Lens Manufacturing 
333316.0,Photographic and Photocopying Equipment Manufacturing 
333318.0,Other Commercial and Service Industry Machinery Manufacturing 
333413.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing 
333414.0,Heating Equipment (except Warm Air Furnaces) Manufacturing 
333415.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing 
333511.0,Industrial Mold Manufacturing 
333514.0,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing "
333515.0,Cutting Tool and Machine Tool Accessory Manufacturing 
333517.0,Machine Tool Manufacturing 
333519.0,Rolling Mill and Other Metalworking Machinery Manufacturing 
333611.0,Turbine and Turbine Generator Set Units Manufacturing 
333612.0,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing "
333613.0,Mechanical Power Transmission Equipment Manufacturing 
333618.0,Other Engine Equipment Manufacturing 
333912.0,Air and Gas Compressor Manufacturing 
333914.0,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing "
333921.0,Elevator and Moving Stairway Manufacturing 
333922.0,Conveyor and Conveying Equipment Manufacturing 
333923.0,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing "
333924.0,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing "
333991.0,Power-Driven Handtool Manufacturing 
333992.0,Welding and Soldering Equipment Manufacturing 
333993.0,Packaging Machinery Manufacturing 
333994.0,Industrial Process Furnace and Oven Manufacturing 
333995.0,Fluid Power Cylinder and Actuator Manufacturing 
333996.0,Fluid Power Pump and Motor Manufacturing 
333997.0,Scale and Balance Manufacturing 
333999.0,All Other Miscellaneous General Purpose Machinery Manufacturing 
334111.0,Electronic Computer Manufacturing 
334112.0,Computer Storage Device Manufacturing 
334118.0,Computer Terminal and Other Computer Peripheral Equipment Manufacturing 
334210.0,Telephone Apparatus Manufacturing
334220.0,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
334290.0,Other Communications Equipment Manufacturing
334310.0,Audio and Video Equipment Manufacturing
334412.0,Bare Printed Circuit Board Manufacturing  
334413.0,Semiconductor and Related Device Manufacturing 
334416.0,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing "
334417.0,Electronic Connector Manufacturing 
334418.0,Printed Circuit Assembly (Electronic Assembly) Manufacturing 
334419.0,Other Electronic Component Manufacturing 
334510.0,Electromedical and Electrotherapeutic Apparatus Manufacturing 
334511.0,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "
334512.0,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use "
334513.0,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables "
334514.0,Totalizing Fluid Meter and Counting Device Manufacturing 
334515.0,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals 
334516.0,Analytical Laboratory Instrument Manufacturing 
334517.0,Irradiation Apparatus Manufacturing 
334519.0,Other Measuring and Controlling Device Manufacturing 
334613.0,Blank Magnetic and Optical Recording Media Manufacturing 
334614.0,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing "
335110.0,Electric Lamp Bulb and Part Manufacturing
335121.0,Residential Electric Lighting Fixture Manufacturing 
335122.0,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing "
335129.0,Other Lighting Equipment Manufacturing 
335210.0,Small Electrical Appliance Manufacturing
335220.0,Major Household Appliance Manufacturing 
335311.0,"Power, Distribution, and Specialty Transformer Manufacturing "
335312.0,Motor and Generator Manufacturing 
335313.0,Switchgear and Switchboard Apparatus Manufacturing 
335314.0,Relay and Industrial Control Manufacturing 
335911.0,Storage Battery Manufacturing 
335912.0,Primary Battery Manufacturing 
335921.0,Fiber Optic Cable Manufacturing 
335929.0,Other Communication and Energy Wire Manufacturing 
335931.0,Current-Carrying Wiring Device Manufacturing 
335932.0,Noncurrent-Carrying Wiring Device Manufacturing 
335991.0,Carbon and Graphite Product Manufacturing 
335999.0,All Other Miscellaneous Electrical Equipment and Component Manufacturing 
336111.0,Automobile Manufacturing 
336112.0,Light Truck and Utility Vehicle Manufacturing 
336120.0,Heavy Duty Truck Manufacturing
336211.0,Motor Vehicle Body Manufacturing 
336212.0,Truck Trailer Manufacturing 
336213.0,Motor Home Manufacturing 
336214.0,Travel Trailer and Camper Manufacturing 
336310.0,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336320.0,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336330.0,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336340.0,Motor Vehicle Brake System Manufacturing
336350.0,Motor Vehicle Transmission and Power Train Parts Manufacturing
336360.0,Motor Vehicle Seating and Interior Trim Manufacturing
336370.0,Motor Vehicle Metal Stamping
336390.0,Other Motor Vehicle Parts Manufacturing
336411.0,Aircraft Manufacturing 
336412.0,Aircraft Engine and Engine Parts Manufacturing 
336413.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing 
336414.0,Guided Missile and Space Vehicle Manufacturing 
336415.0,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing 
336419.0,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing 
336510.0,Railroad Rolling Stock Manufacturing
336611.0,Ship Building and Repairing 
336612.0,Boat Building 
336991.0,"Motorcycle, Bicycle, and Parts Manufacturing "
336992.0,"Military Armored Vehicle, Tank, and Tank Component Manufacturing "
336999.0,All Other Transportation Equipment Manufacturing 
337110.0,Wood Kitchen Cabinet and Countertop Manufacturing
337121.0,Upholstered Household Furniture Manufacturing 
337122.0,Nonupholstered Wood Household Furniture Manufacturing 
337124.0,Metal Household Furniture Manufacturing 
337125.0,Household Furniture (except Wood and Metal) Manufacturing 
337127.0,Institutional Furniture Manufacturing 
337211.0,Wood Office Furniture Manufacturing 
337212.0,Custom Architectural Woodwork and Millwork Manufacturing 
337214.0,Office Furniture (except Wood) Manufacturing 
337215.0,"Showcase, Partition, Shelving, and Locker Manufacturing "
337910.0,Mattress Manufacturing
337920.0,Blind and Shade Manufacturing
339112.0,Surgical and Medical Instrument Manufacturing 
339113.0,Surgical Appliance and Supplies Manufacturing 
339114.0,Dental Equipment and Supplies Manufacturing 
339115.0,Ophthalmic Goods Manufacturing 
339116.0,Dental Laboratories 
339910.0,Jewelry and Silverware Manufacturing 
339920.0,Sporting and Athletic Goods Manufacturing
339930.0,"Doll, Toy, and Game Manufacturing"
339940.0,Office Supplies (except Paper) Manufacturing
339950.0,Sign Manufacturing
339991.0,"Gasket, Packing, and Sealing Device Manufacturing "
339992.0,Musical Instrument Manufacturing 
339993.0,"Fastener, Button, Needle, and Pin Manufacturing "
339994.0,"Broom, Brush, and Mop Manufacturing "
339995.0,Burial Casket Manufacturing 
339999.0,All Other Miscellaneous Manufacturing 
423110.0,Automobile and Other Motor Vehicle Merchant Wholesalers 
423120.0,Motor Vehicle Supplies and New Parts Merchant Wholesalers 
423130.0,Tire and Tube Merchant Wholesalers 
423140.0,Motor Vehicle Parts (Used) Merchant Wholesalers 
423210.0,Furniture Merchant Wholesalers 
423220.0,Home Furnishing Merchant Wholesalers 
423310.0,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers "
423320.0,"Brick, Stone, and Related Construction Material Merchant Wholesalers "
423330.0,"Roofing, Siding, and Insulation Material Merchant Wholesalers "
423390.0,Other Construction Material Merchant Wholesalers 
423410.0,Photographic Equipment and Supplies Merchant Wholesalers 
423420.0,Office Equipment Merchant Wholesalers 
423430.0,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers 
423440.0,Other Commercial Equipment Merchant Wholesalers 
423450.0,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers "
423460.0,Ophthalmic Goods Merchant Wholesalers 
423490.0,Other Professional Equipment and Supplies Merchant Wholesalers 
423510.0,Metal Service Centers and Other Metal Merchant Wholesalers 
423520.0,Coal and Other Mineral and Ore Merchant Wholesalers 
423610.0,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers "
423620.0,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers "
423690.0,Other Electronic Parts and Equipment Merchant Wholesalers 
423710.0,Hardware Merchant Wholesalers 
423720.0,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
423730.0,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers 
423740.0,Refrigeration Equipment and Supplies Merchant Wholesalers 
423810.0,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers 
423820.0,Farm and Garden Machinery and Equipment Merchant Wholesalers 
423830.0,Industrial Machinery and Equipment Merchant Wholesalers 
423840.0,Industrial Supplies Merchant Wholesalers
423850.0,Service Establishment Equipment and Supplies Merchant Wholesalers 
423860.0,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers 
423910.0,Sporting and Recreational Goods and Supplies Merchant Wholesalers 
423920.0,Toy and Hobby Goods and Supplies Merchant Wholesalers 
423930.0,Recyclable Material Merchant Wholesalers 
423940.0,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers "
423990.0,Other Miscellaneous Durable Goods Merchant Wholesalers 
424110.0,Printing and Writing Paper Merchant Wholesalers 
424120.0,Stationery and Office Supplies Merchant Wholesalers 
424130.0,Industrial and Personal Service Paper Merchant Wholesalers 
424210.0,Drugs and Druggists' Sundries Merchant Wholesalers 
424310.0,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers "
424320.0,Men's and Boys' Clothing and Furnishings Merchant Wholesalers 
424330.0,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers "
424340.0,Footwear Merchant Wholesalers 
424410.0,General Line Grocery Merchant Wholesalers 
424420.0,Packaged Frozen Food Merchant Wholesalers 
424430.0,Dairy Product (except Dried or Canned) Merchant Wholesalers 
424440.0,Poultry and Poultry Product Merchant Wholesalers 
424450.0,Confectionery Merchant Wholesalers 
424460.0,Fish and Seafood Merchant Wholesalers 
424470.0,Meat and Meat Product Merchant Wholesalers 
424480.0,Fresh Fruit and Vegetable Merchant Wholesalers 
424490.0,Other Grocery and Related Products Merchant Wholesalers 
424510.0,Grain and Field Bean Merchant Wholesalers 
424520.0,Livestock Merchant Wholesalers 
424590.0,Other Farm Product Raw Material Merchant Wholesalers 
424610.0,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers 
424690.0,Other Chemical and Allied Products Merchant Wholesalers 
424710.0,Petroleum Bulk Stations and Terminals 
424720.0,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
424810.0,Beer and Ale Merchant Wholesalers 
424820.0,Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
424910.0,Farm Supplies Merchant Wholesalers 
424920.0,"Book, Periodical, and Newspaper Merchant Wholesalers "
424930.0,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers "
424940.0,Tobacco and Tobacco Product Merchant Wholesalers 
424950.0,"Paint, Varnish, and Supplies Merchant Wholesalers "
424990.0,Other Miscellaneous Nondurable Goods Merchant Wholesalers 
425110.0,Business to Business Electronic Markets 
425120.0,Wholesale Trade Agents and Brokers 
441110.0,New Car Dealers 
441120.0,Used Car Dealers 
